Data hora,Activa  kW,Reactiva Indutiva  kVAR,Reactiva Capacitiva  kVAR

01/01/2018 00:00,3,1,0
01/01/2018 00:15,2,2,0
01/01/2018 00:30,4,1,0
01/01/2018 00:45,5,1,0
01/01/2018 01:00,2,1,0
01/01/2018 01:15,3,1,0
01/01/2018 01:30,2,2,0
01/01/2018 01:45,2,1,0
01/01/2018 02:00,4,1,0
01/01/2018 02:15,3,2,0
01/01/2018 02:30,2,1,0
01/01/2018 02:45,2,1,0
01/01/2018 03:00,3,1,0
01/01/2018 03:15,2,1,0
01/01/2018 03:30,2,1,0
01/01/2018 03:45,2,2,0
01/01/2018 04:00,3,1,0
01/01/2018 04:15,2,1,0
01/01/2018 04:30,2,1,0
01/01/2018 04:45,3,2,0
01/01/2018 05:00,2,1,0
01/01/2018 05:15,3,1,0
01/01/2018 05:30,2,2,0
01/01/2018 05:45,2,1,0
01/01/2018 06:00,2,1,0
01/01/2018 06:15,3,1,0
01/01/2018 06:30,2,1,0
01/01/2018 06:45,2,1,0
01/01/2018 07:00,3,2,0
01/01/2018 07:15,2,1,0
01/01/2018 07:30,2,1,0
01/01/2018 07:45,2,2,0
01/01/2018 08:00,3,1,0
01/01/2018 08:15,2,1,0
01/01/2018 08:30,3,2,0
01/01/2018 08:45,2,1,0
01/01/2018 09:00,3,1,0
01/01/2018 09:15,2,2,0
01/01/2018 09:30,3,1,0
01/01/2018 09:45,2,1,0
01/01/2018 10:00,2,1,0
01/01/2018 10:15,3,2,0
01/01/2018 10:30,2,1,0
01/01/2018 10:45,2,1,0
01/01/2018 11:00,3,1,0
01/01/2018 11:15,2,2,0
01/01/2018 11:30,2,1,0
01/01/2018 11:45,3,1,0
01/01/2018 12:00,2,1,0
01/01/2018 12:15,3,2,0
01/01/2018 12:30,3,1,0
01/01/2018 12:45,3,1,0
01/01/2018 13:00,2,1,0
01/01/2018 13:15,3,2,0
01/01/2018 13:30,2,1,0
01/01/2018 13:45,3,1,0
01/01/2018 14:00,2,1,0
01/01/2018 14:15,5,2,0
01/01/2018 14:30,3,1,0
01/01/2018 14:45,3,1,0
01/01/2018 15:00,2,1,0
01/01/2018 15:15,2,2,0
01/01/2018 15:30,3,1,0
01/01/2018 15:45,2,2,0
01/01/2018 16:00,3,1,0
01/01/2018 16:15,2,1,0
01/01/2018 16:30,3,2,0
01/01/2018 16:45,2,1,0
01/01/2018 17:00,3,1,0
01/01/2018 17:15,2,1,0
01/01/2018 17:30,3,2,0
01/01/2018 17:45,2,1,0
01/01/2018 18:00,3,1,0
01/01/2018 18:15,2,1,0
01/01/2018 18:30,3,1,0
01/01/2018 18:45,3,1,0
01/01/2018 19:00,2,1,0
01/01/2018 19:15,3,2,0
01/01/2018 19:30,2,1,0
01/01/2018 19:45,3,1,0
01/01/2018 20:00,2,1,0
01/01/2018 20:15,3,1,0
01/01/2018 20:30,3,1,0
01/01/2018 20:45,2,1,0
01/01/2018 21:00,2,1,0
01/01/2018 21:15,3,1,0
01/01/2018 21:30,3,2,0
01/01/2018 21:45,2,1,0
01/01/2018 22:00,2,1,0
01/01/2018 22:15,3,1,0
01/01/2018 22:30,3,1,0
01/01/2018 22:45,3,1,0
01/01/2018 23:00,3,1,0
01/01/2018 23:15,2,1,0
01/01/2018 23:30,3,2,0
01/01/2018 23:45,3,1,0
02/01/2018 00:00,2,1,0
02/01/2018 00:15,3,1,0
02/01/2018 00:30,2,2,0
02/01/2018 00:45,3,1,0
02/01/2018 01:00,2,1,0
02/01/2018 01:15,2,1,0
02/01/2018 01:30,3,1,0
02/01/2018 01:45,2,2,0
02/01/2018 02:00,2,1,0
02/01/2018 02:15,3,1,0
02/01/2018 02:30,2,1,0
02/01/2018 02:45,2,2,0
02/01/2018 03:00,3,1,0
02/01/2018 03:15,2,1,0
02/01/2018 03:30,2,1,0
02/01/2018 03:45,3,2,0
02/01/2018 04:00,5,1,0
02/01/2018 04:15,3,1,0
02/01/2018 04:30,3,2,0
02/01/2018 04:45,2,1,0
02/01/2018 05:00,2,1,0
02/01/2018 05:15,3,2,0
